,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
3140,How to write a lot,,"Silvia, Paul J.",2007,English,"['bibliography', 'Ratgeber.']",text,2006
3141,unbinding,,"Kirn, Walter",,English,"['Psychological fiction', 'Suspense fiction', 'Psychological fiction', 'Fiction', 'Psychological fiction', 'Fiction.', 'Psychological fiction.']",text,2006
3142,"Text, image, interpretation",,"[['Ó Carragáin, Éamonn.'], ['Minnis, A. J. (Alastair J.)'], ['Roberts, Jane'], ['Roberts, Jane']]",2007,English,"['bibliography', 'festschrift', 'History', 'Criticism, interpretation, etc.']",text,2007
3143,dictionary of alternatives,,"[['Parker, Martin'], ['Fournier, Valérie'], ['Reedy, Patrick']]",,English,"['globe', 'bibliography', 'Dictionaries']",text,2007
3144,Conversational Latin for oral proficiency,,"Traupman, John C.",,English,Conversation and phrase books,text,2006
3145,Life with Mae,,"Shine, Neal",2007,English,"['biography', 'government publication', 'Biography', 'Biographies', 'Biographies', 'Biographies.']",text,2007
3146,Fit to govern,,"Roberts, Ronald Suresh",,English,NaN,text,2007
3147,muscular ideal,,"[['Thompson, J. Kevin'], ['Cafri, Guy']]",2007,English,bibliography,text,2006
3148,No humans involved,,"Armstrong, Kelley",2007,English,"['Occult fiction', 'Fiction', 'Paranormal fiction', 'Paranormal fiction']",text,2006
3149,"Enoch, Levi, and Jubilees on sexuality",,"Loader, William R. G.",,English,bibliography,text,2007
3150,Inside the machine,,"Stokes, Jon",2007,English,bibliography,text,2005
3151,Impressions of the East,"treasures from the C.V. Starr East Asian Library, University of California, Berkeley","[['Rudolph, Deborah'], ['Chen, Diana']]",2007,English,"['bibliography', 'Catalogs', 'Catalogs']",text,2006
3152,Pesu yo o o fure,NaN,"[['Yamada, Eiji'], ['山田えいじ']]",2007,Japanese,"['Comics (Graphic works)', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Bandes dessinées.']",text,2009
