,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
1445,corruption of reality,,"Schumaker, John F.",,English,bibliography,text,1994
1446,Politics,NaN,"[['Aristotle'], ['Saunders, Trevor J. (Trevor John)']]",,English,"['bibliography', 'Early works', 'Early works to 1800.']",text,1995
1447,Talking the boundless book,"art, language, and the book arts : essays from Art & language, re-reading the boundless book","[['Higgins, Dick'], ['Alexander, Charles'], ['Higgins, Dick'], ['Minnesota Center for Book Arts']]",,English,NaN,text,1995
1448,2nd ArtistBook International,NaN,"[['ArtistBook International (2nd : 1995 : New York, N.Y.)'], ['Princenthal, Nancy'], ['Weiner, Lawrence'], ['Gadella, Rik'], ['ArtistBook International (2nd : 1995 : New York, N.Y.)']]",,English,"['bibliography', 'Bibliographies', 'Catalogs', 'Directories', 'Directories']",text,1997
1449,water's edge,,"[['Gall, Sally'], ['Salter, James'], ['Richardson, Nan'], ['Wild, Lorraine'], ['Fella, Andrea'], ['Southeast Museum of Photography'], ['Chronicle Books (Firm)']]",1995,English,"['text', 'still image', 'photobooks.', 'Photobooks', 'Livres de photographies.']",text,1994
1450,Books and readers in the early church,,"Gamble, Harry Y.",1995,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1994
1451,Deep things out of darkness,the book of Job : essays and a new English translation,"Wolfers, David",,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1995
1452,Beyond the map,,"[['Ackerman, Diane.'], ['Mark, Enid'], ['Mark, Enid'], ['Atwood, Margaret'], ['Becker, Robin'], ['Gregg, Linda'], ['Hadas, Rachel'], ['Rich, Adrienne'], ['Sarton, May'], ['Snively, Susan'], ['Stoutenburg, Adrien'], ['Swenson, May'], ['Whitman, Ruth'], ['Sheesley, Timothy P.'], ['Carr, Dan'], ['Ferrari, Julia'], ['Keleher, Daniel'], ['Blumenthal, Barbara B. (Barbara Borenstein)'], ['Carr, Dan'], ['ELM Press'], ['ELM Press'], ['Corridor Press'], ['Wild Carrot Letterpress'], ['Golgonooza Letter Foundry']]",,English,"[""Artists' books-Pennsylvania-20th century."", ""Artists' books-Pennsylvania."", ""Artists' books-Pennsylvania-Wallingford-1995."", ""Artists' books"", 'Poetry', ""Artists' books""]",text,1995
1453,Temples =,Templos,"[['Hine, Charles'], ['Gerzso, Gunther'], ['Blanco, Alberto'], ['Dreiman, Alan'], ['Hine Editions'], ['Limestone Press']]",1995,English,"['text', 'still image', 'Poetry', 'etchings (prints)', 'folio (book format)', 'Folio (leaves)', 'poetry.', 'Etchings', 'Translations', 'Specimens', 'Poetry', 'Poetry', 'Etchings', ""Artists' books-California-San Francisco-1995."", 'Eaux-fortes (Gravures)', 'Poésie.']",text,2016
1454,War's end,"profiles from Bosnia, 1995-96","Sacco, Joe",,English,"['Graphic novels', 'Graphic novels-Canada.', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'History']",text,2005
1455,gentle madness,,"[['Basbanes, Nicholas A.'], ['Szafranski, Paula R.'], ['Jaramillo, Raquel'], ['Henry Holt and Company']]",,English,bibliography,text,1994
1456,Simon de Colines,,"[['Schreiber, Fred'], ['Veyrin-Forrer, Jeanne'], ['Harold B. Lee Library']]",,English,"['bibliography', 'Bibliographies-Catalogs', 'Catalogs', 'Leaf books.', 'Typefaces (Type evidence)-Minion (Adobe)', 'Bibliographies-Catalogs.', 'Catalogs.', 'Cloth case bindings-U.S.A.-1995.', 'Italic (typeface group)-Adobe Minion-U.S.A.-1995.', 'Paper (fibre product) labels (identifying artifacts)-U.S.A.-1995.', 'Roman (upright typeface group)-Adobe Minion-U.S.A.-1995.', 'Bibliographies-U.S.A.-1995.', 'Machine-made papers (fibre products-Mohawk Superfine-U.S.A.-1995.']",text,1995
1457,book in the Islamic world,,"Atiyeh, George N. (George Nicholas)",1995,English,"['bibliography', 'conference publication', 'government publication', 'Conference papers and proceedings', 'History', 'Congresses.']",text,1994
1458,New England book of the dead,,"Parker, James Hill.",1995,English,NaN,text,1995
1459,Sam and the lucky money,,"[['Chinn, Karen'], ['Van Wright, Cornelius'], ['Hu, Ying-Hwa'], ['Lee & Low Books, Inc']]",1995,English,"['text', 'Picture books for children.', 'Picture books.', 'Fictional Work', 'picture books.', 'Picture books', 'Fiction', 'Juvenile works', 'Picture books', 'Fiction', ""Livres d'images."", 'Romans.']",text,1994
1460,economies of Central Asia,,"Pomfret, Richard W. T.",1995,English,"['bibliography', 'text']",text,1995
1462,Used book sales,,"Crotz, D. Keith (Darrell Keith)",1995,English,bibliography,text,1994
1463,Introduction à l'histoire de la lecture publique & à la bibliothéconomie populaire,NaN,"Richter, Noë",,French,"['bibliography', 'History']",text,1996
1464,Rediscovering Nancy Drew,NaN,"[['Dyer, Carolyn Stewart'], ['Romalov, Nancy Tillman']]",1995,English,"['bibliography', 'government publication', 'Bibliographies', 'Criticism, interpretation, etc.', 'History']",text,1995
1465,Future libraries,,"[['Bloch, R. Howard'], ['Hesse, Carla Alison']]",1995,English,"['bibliography', 'Prognoses (form)']",text,1994
1466,Inside the reinvention machine,,"[['Kettl, Donald F.'], ['DiIulio, John J.'], ['DiIulio, John J.']]",1995,English,"['bibliography', 'reference.', 'référence bibliographique.', 'referencia.']",text,1994
1467,Global warming,,"Parsons, M. L. (Michael Loewen)",1995,English,bibliography,text,1995
1468,Proximal Morocco --,NaN,"[['Khaïr-Eddine, Mohammed'], ['Syersak, Jake'], ['Lyamlahy, Khalid'], ['Greiner, Mechtilt'], ['Ugly Duckling Presse'], ['McNaughton & Gunn (Firm)']]",2023,English,"['bibliography', 'text', 'poetry.', 'Poetry', 'Translations', 'Poetry', 'Poems.', 'Poems.', 'Poésie.']",text,2023
1469,Complete works,NaN,"[['Rossi, Salamone'], ['Harrán, Don']]",2003,Italian,"['md-sn-sy-zz', 'notated music', 'Music', 'Art music', 'Musique.', 'Madrigals (Music)', 'Sonatas', 'Symphonies', 'Scores']",notated music,1995
1470,Force and geometry in Newton's Principia,NaN,"[['Gandt, Francois de'], ['Wilson, Curtis']]",1995,English,"['bibliography', 'biography', 'text']",text,1994
1471,New science out of old books,,"[['Doyle, A. I. (Anthony Ian)'], ['Beadle, Richard'], ['Piper, A. J.']]",1995,English,"['bibliography', 'festschrift', 'Bibliographies', 'Criticism, interpretation, etc.', 'Festschriften.']",text,1994
1472,But Book,,"[['Pereira, Priya'], ['Pixie Bks']]",1995,English,"['text', 'pamphlet bindings.', 'limited editions.', 'interactive art.', 'metal.', ""artists' books (books)"", ""Artists' books"", 'Specimens', ""Artists' books"", ""Livres d'artistes.""]",text,2012
1473,book about Ray,NaN,"[['Levy, Ellen (Ellen Sue)'], ['Johnson, Ray']]",2024,English,"['bibliography', 'biography', 'text', 'still image', 'Biographies', 'Biographies.', 'Biographies.']",text,2023
1474,Democracy on trial,,"Elshtain, Jean Bethke",1995,English,bibliography,text,1994
1475,Chiang Mai chronicle,,"[['ʻArunrat Wichīankhīeo'], ['Wyatt, David K.']]",,English,"['bibliography', 'History']",text,1996
1476,"Firms, contracts, and financial structure",,"Hart, Oliver D.",,English,"['bibliography', 'Contracts', 'Contracts']",text,1995
1477,Emotional intelligence,,"Goleman, Daniel",,English,bibliography,text,1995
1478,Beyond blame,,"Williams, Armstrong",1995,English,NaN,text,1995
1479,Juvenile violence in a winner-loser culture,,"James, Oliver",,English,bibliography,text,1997
1480,poetry of Scotland,,"Watson, Roderick",1995,English,"['Poetry', 'Translations']",text,1995
1481,Skyblue's essays,,"[['Wiebe, Dallas E.'], ['Waldrop, Rosmarie'], ['Hamrick, Bill'], ['Hughes, Jon'], ['Burning Deck Archive (Woodberry Poetry Room)'], ['Burning Deck (Firm)'], ['McNaughton & Gunn (Firm)']]",1995,English,"['short story', 'text', 'short stories.', 'Short stories', 'Nouvelles.']",text,1994
1482,fatal flaw,,"Howlett, Duncan",,English,bibliography,text,1994
1483,Index of theme and image to the homilies of the Anglo-Saxon church,,"DiNapoli, Robert.",,English,"['index', 'Indexes']",text,1995
1484,Naked racial preference,,"Cohen, Carl",,English,bibliography,text,1995
1485,Western women working in Japan,,"[['Napier, Nancy K.'], ['Taylor, Sully.']]",,English,bibliography,text,1995
1486,Best of the sixties. [Book 1],NaN,"Archie Comic Publications, Inc",1995,English,"['still image', 'text', 'Comics (Graphic works)', 'Graphic novels.', 'Humorous comics.']",text,2024
1487,memory wars,,"Crews, Frederick C.",,English,"['bibliography', 'Collected Work', 'Collected Work']",text,1995
1488,Packwood report,,United States,1995,English,biography,text,1995
1489,Virtual equality,,"[['Vaid, Urvashi'], ['Anchor Books (Publisher)']]",,English,bibliography,text,1995
1490,Sovereign nations or reservations?,,"Anderson, Terry L. (Terry Lee)",1995,English,bibliography,text,1994
1491,NMR and its applications to living systems,,"Gadian, David G.",,English,bibliography,text,1995
1492,Thread of the silkworm,,"Chang, Iris",1995,English,"['bibliography', 'biography', 'Biographies', 'History']",text,1995
1493,Overdue notice,,"Drake, David",1995,English,Poetry,text,1994
1494,One by one from the inside out ,,"Loury, Glenn C.",©1995,English,"['bibliography', 'text', 'Review', 'reviews (documents)', 'Reviews', 'Book reviews', 'Book reviews', 'Reviews', 'Comptes rendus de livres.', 'Comptes rendus.']",text,1994
1495,Newton,,"[['Newton, Isaac'], ['Cohen, I. Bernard'], ['Westfall, Richard S.']]",1995,English,"['bibliography', 'biography', 'Aufsatzsammlung.']",text,1992
1496,Writers and readers in medieval Italy,studies in the history of written culture,"[['Petrucci, Armando'], ['Radding, Charles M.']]",1995,English,"['bibliography', 'text', 'History']",text,1994
1497,Apocalypse,a people's commentary on the book of Revelation,"Richard, Pablo",1995,English,"['bibliography', 'Commentaries', 'Commentaries']",text,1995
1498,death of Yugoslavia,,"[['Silber, Laura'], ['Little, Allan'], ['British Broadcasting Corporation']]",,English,"['History', 'History.']",text,1995
1499,Earthquake prediction by seismic electric signals,,"Lazaridou-Varotsos, Mary E.",2012,English,"['bibliography', 'text']",text,2012
1500,genius for letters,,"[['Myers, Robin'], ['Harris, Michael H.'], ['Myers, Robin']]",,English,"['bibliography', 'History']",text,1995
1501,Reading iconotexts,,"Wagner, Peter",,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1996
1502,Polish renaissance literature,,"Mikoś, Michael J.",1995,English,"['bibliography', 'Translations']",text,1995
1503,Kommos,"the Kommos region and houses of the Minoan Town. Part I, The Kommos region, ecology, and Minoan industries","[['Shaw, Joseph W.'], ['Shaw, Maria C.']]",1995,English,"['bibliography', 'biography', 'text']",text,2014
1504,Hi no tori,NaN,"[['Tezuka, Osamu'], ['手塚治虫']]",1995,Japanese,Drama manga-Shōwa 1945-1989,text,1999
1505,Indian Constitution and international law,,"Chandrasekhara Rao, P.",1995,English,bibliography,text,1996
1506,Cooperative microeconomics,,"Moulin, Herve",1995,English,"['bibliography', 'text']",text,1995
1507,realms of King Tawhiao,,"Craig, Dick",1995,English,"['biography', 'Biographies', 'History']",text,1995
1508,book of man,,"[['Bodmer, W. F. (Walter Fred)'], ['McKie, Robin']]",,English,NaN,text,1994
1509,U.S. government and the Vietnam War,,"[['Gibbons, William Conrad'], ['Library of Congress'], ['United States']]",1995,English,"['bibliography', 'text']",text,2014
1510,Tesori miniati,,"[['Gatti Perer, Maria Luisa.'], ['Marubbi, Mario'], ['Palazzo della ragione (Bergamo, Italy)'], ['Monastero di San Salvatore-Santa Giulia (Brescia, Italy)']]",1995,Italian,"['bibliography', 'Exhibition catalogs', 'Exhibition catalogs.']",text,2001
1511,Seedbeds of virtue,,"[['Glendon, Mary Ann'], ['Blankenhorn, David.']]",1995,English,bibliography,text,1995
1512,Network security,,"[['Kaufman, Charlie'], ['Perlman, Radia'], ['Speciner, Michael']]",1995,English,bibliography,text,1995
1513,Trading words,,"Badaracco, Claire.",,English,"['bibliography', 'government publication', 'Criticism, interpretation, etc.', 'History', 'Illustrated works', 'Criticism, interpretation, etc.', 'History.', 'Illustrated works.']",text,1994
1514,Bell curve debate,,"[['Jacoby, Russell'], ['Glauberman, Naomi']]",1995,English,bibliography,text,1995
1515,century in books,,"Princeton University Press Staff, author.",2005,English,"['bibliography', 'text']",text,2022
1516,middle passage,,"[['Feelings, Tom'], ['Clarke, John Henrik'], ['Fogelman, Phyllis J.'], ['Tehon, Atha'], ['Dial Books']]",1995,English,"['bibliography', 'still image', 'text', ""Book designers' mock-ups (Publishing)"", 'Juvenile works', 'Illustrated works']",text,1995
1517,Magische Nachtgeschichte,Kubin : Alfred Kubin und die phantastische Literatur seiner Zeit,"[['Lachinger, Johann'], ['Pintar, Regina.']]",1995,German,"['bibliography', 'text', 'Criticism, interpretation, etc.', 'Exhibition catalogs']",text,1996
1518,hard way,,"Lassell, Michael",1995,English,"['text', 'essays.', 'Gay poetry', 'Essays', 'Fiction', 'Gay fiction', 'Poetry', 'Gay fiction', 'Gay poetry', 'Essays', ""Publishers' advertisements."", 'Romans homosexuels.', 'Essais.']",text,1995
1519,Off stage,,"Comden, Betty",1995,English,"['biography', 'Biographies']",text,1994
1520,Lord's anointed,,"[['Satterthwaite, P. E.'], ['Hess, Richard S.'], ['Wenham, Gordon J.'], ['Tyndale Fellowship for Biblical Research']]",,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1996
1521,American Historical Association's guide to historical literature,NaN,"[['Norton, Mary Beth'], ['Gerardi, Pamela'], ['American Historical Association']]",,English,"['bibliography', 'Bibliography', 'Bibliographies', 'History', 'Reference works', 'Reference works', 'Reference works.', 'Bibliographies']",text,1994
1522,Development ethics,,"Goulet, Denis",1995,English,bibliography,text,1994
1523,Jesus the healer,,"Davies, Stevan L.",,English,"['bibliography', 'biography', 'Criticism, interpretation, etc.']",text,1994
1524,discipline for software engineering,,"Humphrey, Watts S.",1995,English,bibliography,text,1993
1525,Ages of Homer,a tribute to Emily Townsend Vermeule,"[['Vermeule, Emily'], ['Carter, Jane Burr'], ['Morris, Sarah P.']]",,English,"['bibliography', 'festschrift', 'government publication', 'Criticism, interpretation, etc.', 'Festschriften']",text,1994
1526,book that was lost and other stories,NaN,"[['Agnon, Shmuel Yosef'], ['Mintz, Alan L.'], ['Hoffman, Anne Golomb']]",1995,English,"['bibliography', 'Translations']",text,1994
1527,middle length discourses of the Buddha,a new translation of the Majjhima Nikāya : translated from the Pali,"[['Ñāṇamoli'], ['Bodhi']]",,Pali,"['bibliography', 'Sacred works', 'Sacred books', 'Sacred works', 'Livres sacrés.']",text,1994
1528,Paths of emancipation,,"[['Birnbaum, Pierre'], ['Katznelson, Ira']]",1995,English,"['bibliography', 'text']",text,1994
1529,Instruments and the imagination,,"[['Hankins, Thomas L.'], ['Silverman, Robert J.']]",1995,English,"['bibliography', 'text']",text,1995
1530,"Galitzin"" quartets of Beethoven",,"Chua, Daniel K. L.",1995,English,"['bibliography', 'biography', 'text']",text,1995
1531,Ancient Greek novels,,"[['Stephens, Susan A.'], ['Winkler, John J.']]",1995,English,"['bibliography', 'text']",text,1992
1532,Timely meditations,,"Thiele, Leslie Paul",1995,English,"['bibliography', 'text']",text,1994
1533,In quest of the sacred baboon,a scientist's journey,"[['Kummer, Hans'], ['Biederman-Thorson, M. Ann']]",1995,English,"['bibliography', 'text']",text,2017
1534,"Economic, social and cultural rights as human rights",,"[['Schutter, Olivier de.'], ['Schutter, Olivier de'], ['Edward Elgar Publishing']]",,English,NaN,text,2015
1535,horas de Margarida de Cleves =,The hours of Margaret of Cleves,"[['Marrow, James H.'], ['Museu Calouste Gulbenkian']]",,English,"['bibliography', 'Books of hours.']",text,1997
1536,introduction to book repair,,"[['Schrock, Nancy Carlson'], ['Gaylord (Firm)']]",,English,"['bibliography', 'text', 'Handbook', 'Handbooks and manuals', 'Handbooks and manuals', 'Guides et manuels.']",text,2014
1537,"Poets, patrons, and printers",,"Brown, Cynthia J.",,English,"['bibliography', 'History']",text,1994
1538,Anti-Semite and Jew,NaN,"[['Sartre, Jean-Paul'], ['Becker, George J.'], ['Walzer, Michael']]",,English,NaN,text,1995
1539,Slavery and beyond,,"Davis, Darién J.",,English,"['bibliography', 'History']",text,1994
1540,Tān Tān wa-kanz al-qurṣān al-aḥmar,NaN,"[['Hergé'], ['هرگ،']]",1995,Arabic,"['text', 'Comics (Graphic works)']",text,2000
1541,all-white world of children's books and African American children's literature,NaN,"Osa, Osayimwense",1995,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1995
1542,Hidden histories of science,,"Silvers, Robert B.",1995,English,History,text,1995
1543,"United Nations and Cambodia, 1991-1995",NaN,United Nations,1995,English,"['government publication', 'History']",text,1995
1544,Kniga v prostranstve kulʹtury,,"[['Melʹnikov, G. P.'], ['Sofronova, L. A. (Li͡udmila Aleksandrovna)'], ['Sofronova, L. A. (Li︠u︡dmila Aleksandrovna)'], ['Nauchnyĭ t͡sentr obshcheslavi͡anskikh issledovaniĭ (Institut slavi͡anovedenii͡a i balkanistiki)']]",,Russian,"['Conference papers and proceedings', 'History']",text,1996
1545,Report in brief,a synthesis of data from NAEP's 1992 Integrated Reading Performance Record at grade 4,"[['Campbell, Jay R.'], ['Ashworth, Kent P.'], ['Educational Testing Service'], ['National Center for Education Statistics']]",1995,English,"['statistics', 'government publication', 'Statistics']",text,1995
1546,long walk to church,,"Davis, Nathaniel",,English,"['bibliography', 'Church history', 'History', 'Church history.', 'History.']",text,1994
1547,Triumph and erosion in the American media and entertainment industries,NaN,"[['Steinbock, Dan.'], ['Chandler, Alfred D. (Alfred Dupont)']]",,English,bibliography,text,1994
1548,Papers of Jerome S. Bruner [accessions],1930-2015,"Bruner, Jerome S. (Jerome Seymour)",2015,English,"['Black-and-white photographs.', 'Color photographs.', 'Black-and-white slides.', 'Lantern slides.', 'Compact disks.', 'Floppy disks.']","{'@collection': 'yes', '@manuscript': 'yes', '#text': 'mixed material'}",2008
1549,new psychology of men,,"[['Levant, Ronald F.'], ['Pollack, William S.']]",1995,English,bibliography,text,1994
1550,ambiguities of power,,"Curtis, Mark",,English,bibliography,text,1995
1551,Best poems,"and, The book of five makings","[['Gurney, Ivor'], ['Thornton, R. K. R. (Robert Kelsey Rought)'], ['Walter, George.']]",,English,"['bibliography', 'Collections']",text,1995
1552,Anatomy of a book controversy,,"Homstad, Wayne.",1995,English,"['bibliography', 'Case studies']",text,1995
1553,tale of one bad rat,NaN,"Talbot, Bryan",,English,"['Graphic novels-United States.', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels']",text,1996
1554,Copyright theft,,"Gurnsey, John",1995,English,"['bibliography', 'bibliography.', 'CD ROM.', 'glossary.', 'sound recording.', 'video recording.', 'CD ROM.', 'bibliographie.', 'enregistrement sonore.', 'enregistrement vidéo.', 'glossaire.', 'CD ROM.', 'audio grabación.', 'bibliografía.', 'glosario.']",text,1994
1555,Dahl's history of the book,NaN,"Katz, William A.",,English,"['bibliography', 'History']",text,1994
1556,Crossing the Mangrove,NaN,"[['Condé, Maryse'], ['Philcox, Richard']]",,English,Mystery fiction,text,1994
1557,continental prophecies,,"[['Blake, William'], ['Dörrbecker, Detlef W.'], ['Bindman, David'], ['Tate Gallery'], ['William Blake Trust']]",1995,English,"['bibliography', 'Prophecies', 'Facsimiles', 'Manuscripts', 'Prophecies', 'Prophéties.']",text,1993
1558,"woman reader, 1837-1914",,"Flint, Kate.",1995,English,"['bibliography', 'text', 'History']",text,1999
1559,Jerusalem anthology,,"Hammer, Reuven.",,English,"['bibliography', 'Literature', 'History', 'Literary collections', 'Sources', 'Literature']",text,1995
1560,Unnatural dykes to watch out for,NaN,"Bechdel, Alison",1995,English,"['Comics (Graphic works)', 'Comics (Graphic works)', 'Comics (Graphic works)']",text,1995
1561,Oxford book of money,NaN,"Jackson, Kevin",,English,Quotations,text,1994
1562,California flora,,"[['McClintock, Elizabeth'], ['DePol, John'], ['DePol, John'], ['Book Club of California']]",,English,"['Keepsakes-California-San Francisco-1995.', 'Wood engravings (Prints).']",text,1996
1563,Through the looking glass,"Byzantium through British eyes : papers from the twenty-ninth Spring Symposium of Byzantine Studies, London, March 1995","[['Spring Symposium of Byzantine Studies (29th : 1995 : London, England)'], ['Cormack, Robin.'], ['Jeffreys, Elizabeth.'], ['Society for the Promotion of Byzantine Studies (Great Britain)']]",2000,English,"['bibliography', 'conference publication', 'Conference papers and proceedings', 'History']",text,2000
1564,UNI/vers(;),visual and experimental poetry,"Deisler, Guillermo",1995,English,"['text', 'still image', 'Visual poetry', 'Mail art', 'Assembling magazines.', 'visual poetry.', 'mail art.', 'stamp art.', 'copy art (reprographic art)', 'found objects.', 'Periodicals', 'Visual poetry', 'Mail art', ""Artists' books."", 'Poésie visuelle.', 'Envois postaux (Art)']",text,1992
1565,Book arts of Isfahan,,"[['Taylor, Alice'], ['J. Paul Getty Museum']]",1995,English,"['bibliography', 'Exhibition catalogs', 'Exhibition catalogs', 'Exhibition catalogues (form)']",text,1995
1566,book garden,,"[['Bezmenova, K. V. (Ksenii︠a︡ Vladimirovna)'], ['Thomas, Christine'], ['Karasik, Mikhail'], ['Yershov, Gleb.'], ['Doronchenkov, Ilya.'], ['Nosova, Galina'], ['Phillips, Catherine'], ['Off-Centre Gallery']]",1995,English,"['bibliography', 'exhibition catalogs.', 'Bibliographies', 'History', 'Exhibition catalogs', ""Catalogues d'exposition.""]",text,1995
1567,Flanders in a European perspective,,"[['International Colloquium (1993 : Louvain, Belgium)'], ['Smeyers, Maurits'], ['Cardon, Bert']]",1995,English,"['bibliography', 'conference publication', 'text', 'still image', 'Congress', 'proceedings (reports)', 'Conference papers and proceedings', 'Conference papers and proceedings', 'Actes de congrès.']",text,1996
1568,Shorter works and fragments,NaN,"[['Coleridge, Samuel Taylor'], ['Jackson, H. J.'], ['Jackson, J. R. de J. (James Robert de Jager)']]",1995,English,"['bibliography', 'text', 'Notebooks, sketchbooks, etc.', 'Text', 'Ausgabe']",text,1995
1569,International book publishing,,"[['Altbach, Philip G.'], ['Hoshino, Edith S.']]",,English,"['bibliography', 'Encyclopedias']",text,1994
1570,Conversations with Frank Waters,,"[['Milton, John R.'], ['Waters, Frank'], ['Milton, John R.']]",1971,English,"['bibliography', 'biography', 'Interviews']",text,1972
1571,art of war in Spain,,"[['Prescott, William Hickling'], ['McJoynt, Albert D.']]",,English,"['bibliography', 'History', 'Military history']",text,1994
1572,Holy Bible,containing the Old and New Testaments translated out of the original tongues and with the former translations diligently compared and revised by His Majesty's special command,NaN,1995,English,NaN,text,1995
1573,Essays on Fourier Analysis in Honor of Elias M. Stein (PMS-42),,"[['Fefferman, Charles'], ['Fefferman, Robert'], ['Wainger, Stephen']]",1995,English,"['government publication', 'text']",text,2015
1574,artist as critic,,"Janzen Kooistra, Lorraine",,English,"['bibliography', 'Criticism, interpretation, etc.', 'History', 'Illustrated works', 'Illustrated works.']",text,1995
1575,workhouses of Ireland,,"O'Connor, John.",,English,"['bibliography', 'History']",text,1994
1576,Heavy metal overdrive,,"[['Eastman, Kevin B.'], ['Center for Sex and Culture (San Francisco, Calif.)']]",1995,English,"['text', 'Science fiction comic books, strips, etc.', 'Comics (Graphic works)', 'Science fiction comics.', 'Fantasy comics.', 'Erotic comics.']",text,2000
1577,land without gods,,"[['Chevalier, Jacques M.'], ['Buckles, Daniel']]",1995,English,"['bibliography', 'Electronic books.']",text,1995
1578,Deadly reunion,,"Manthorne, Jackie",1995,English,Fiction,text,1995
1579,Representation of Lie Groups and Special Functions ,,"[['Vilenkin, N. I︠A︡. (Naum I︠A︡kovlevich),'], ['Klimyk, A. U. (Anatoliĭ Ulʹi͡anovich),']]",1995,English,text,text,2013
1580,Crime and the politics of hysteria,,"Anderson, David C.",1995,English,bibliography,text,1994
1581,Fundamentals of biostatistics,,"Rosner, Bernard (Bernard A.)",1995,English,bibliography,text,1994
1582,psychology of illness,,"Druss, Richard G.",1995,English,bibliography,text,1994
1583,Rose,,"Higham, Charles",1995,English,"['bibliography', 'biography', 'Biographies']",text,1995
1584,careless society,,"McKnight, John",1995,English,bibliography,text,1995
1585,Ecopsychology,,"[['Roszak, Theodore'], ['Gomes, Mary E.'], ['Kanner, Allen D.'], ['Roszak, Theodore']]",1995,English,bibliography,text,1994
1586,Post-abortion syndrome,,"Doherty, Peter",1995,English,bibliography,text,1995
1587,Tobacco,,"Gold, Mark S.",1995,English,bibliography,text,1995
1588,Battlefield of the future,,"[['Schneider, Barry R.'], ['Grinter, Lawrence E.']]",1995,English,NaN,text,1995
1589,Exquisite specificity,,"[['Cambrosio, Alberto'], ['Keating, Peter']]",1995,English,"['bibliography', 'History']",text,1995
1590,Tān Tān fī maʻbad al-shams,NaN,"[['Hergé'], ['هرگ،']]",1993,Arabic,"['short story', 'text', 'Comics (Graphic works)']",text,2001
1591,Linear algebra problem book,,"Halmos, Paul R. (Paul Richard)",1995,English,Problems and exercises,text,1995
1592,Frontline feminism 1975-1995,essays from Sojourner's first 20 years,"Kahn, Karen",1995,English,History,text,1995
1593,1 Enoch and Sirach,"a comparative and conceptual analysis of the themes of revelation, creation, and judgment","Argall, Randal A.",1995,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1995
1594,Entering the war zone,,"Goodleaf, Donna K. (Donna Kahenrakwas)",1995,English,"['bibliography', 'Claims', 'History']",text,1994
1595,Roscoe Turner,,"Glines, Carroll V.",,English,"['bibliography', 'biography', 'Biographies', 'Biographies']",text,1994
1596,"Politics and government in Germany, 1944-1994",basic documents,"Schweitzer, Carl Christoph.",,English,"['bibliography', 'History', 'Sources']",text,1994
1597,What do Jews believe?,,"Ariel, David S.",1995,English,bibliography,text,1994
1598,air down here,,"[['Alicea, Gil C.'], ['DeSena, Carmine']]",,English,biography,text,1995
1599,"window on Main Street, or, Life above the corner drug",NaN,"Lagomarcino, Virgil",,English,"['biography', 'government publication', 'Biographies']",text,1994
1600,Postmodernity and European education systems,,"[['Coulby, David'], ['Jones, Crispin']]",,English,bibliography,text,1996
1601,To go free,,"[['Acton, Richard'], ['Acton, Patricia Nassif.']]",1995,English,"['bibliography', 'Anecdotes', 'History', 'Anecdotes.', 'History.']",text,1995
1602,Hydropolitics,,"Ohlsson, Leif",,English,bibliography,text,1995
1603,Book editors talk to writers,,"Mandell, Judy",1995,English,"['biography', 'Interviews']",text,1994
1604,Norton anthology of poetry ,,"[['Ferguson, Margaret W.,'], ['Kendall, Tim,'], ['Salter, Mary Jo,']]",2018,English,"['bibliography', 'text', 'poetry.', 'Poetry.', 'Poetry.', 'Poésie.']",text,2018
1605,Diseasing of America,,"Peele, Stanton",,English,bibliography,text,1995
1606,Od čizama do petka,,"Cvitan, Grozdana",,Croatian,"['Book reviews', 'Criticism, interpretation, etc.']",text,2003
1607,Problem drugs,,"[['Chetley, Andrew'], ['Health Action International']]",,English,"['bibliography', 'Popular Work']",text,1995
1608,new typography,a handbook for modern designers,"[['Tschichold, Jan'], ['McLean, Ruari'], ['Kinross, Robin']]",1995,English,government publication,text,1994
1609,age factor in second language acquisition,,"[['Singleton, D. M. (David Michael)'], ['Lengyel, Zsolt']]",1995,English,"['bibliography', 'conference publication', 'Conference papers and proceedings', 'Conference papers and proceedings.']",text,1995
1610,Alternative mechanisms of multidrug resistance in cancer,,"Kellen, John A.",1995,English,"['bibliography', 'Aufsatzsammlung.']",text,1995
1611,On literature and society,NaN,"[['Cândido, Antônio'], ['Becker, Howard S. (Howard Saul)']]",1995,English,"['bibliography', 'text']",text,1994
1612,Right thinking and sacred oratory in Counter-Reformation Rome,,"McGinness, Frederick J.",1995,English,"['bibliography', 'text']",text,1995
1613,Abraham Robinson,,"[['Dauben, Joseph Warren'], ['Robinson, Abraham']]",1995,English,"['bibliography', 'festschrift', 'biography', 'text']",text,1994
1614,Between Muslim and Jew,,"Wasserstrom, Steven M.",1995,English,"['bibliography', 'text']",text,1994
1615,Eros and evolution,,"Michod, Richard E.",1995,English,bibliography,text,1994
