,title,subtitle,author,publication_date,languge,genre
3563,My wandering warrior existence ,NaN,"[['Nagata, Kabi'], ['Allen, Jocelyne,'], ['Page, Karis']]",2022,English,"['biography', 'text', 'still image', 'Nonfiction comics', 'Graphic novels', 'manga (comic books)', 'Autobiographical comics', 'Comics (Graphic works)', 'Graphic novels', 'Nonfiction comics', 'Translations', 'LGBTQ+ graphic novels.', 'Nonfiction comics', 'Graphic novels', 'Autobiographical comics', 'Comics (Graphic works)', 'Manga', 'Bandes dessinées autobiographiques.', 'Bandes dessinées autres que de fiction.', 'Bandes dessinées.', 'Mangas.']"
3564,Start the day ,,"[['Weber, Vicki L.,'], ['Ng-Benitez, Shirley']]",2022,English,"['text', 'still image', 'Jewish fiction.', 'Board books', 'picture books.', 'board books.', 'Board books', 'Fiction', 'Juvenile works', 'Picture books', ""Children's stories-Pictorial works."", 'Picture books', 'Board books', ""Livres d'images."", 'Livres tout carton.']"
3565,law of contract damages,,"Kramer, Adam",2022,English,"['bibliography', 'text']"
3566,Treasures Lost,,M,2022,English,"['dictionary', 'government publication', 'text']"
3567,fumetto,le sue origini e la sua diffusione in Italia : da Töpffer a Yellow Kid e dal Corriere dei piccoli al Manga : un libro che racconta cronologicamente la storia del fumetto italiano,"Fontana, Dario",2022,Italian,"['bibliography', 'text', 'Criticism, interpretation, etc.', 'History']"
3568,Brave new world,,"Fordham, Fred",2022,English,"['text', 'still image', 'Graphic novels', 'Comics (Graphic works)', 'Dystopian comics', 'Adaptations', 'Comics adaptations', 'Comics (Graphic works)', 'Dystopian comics', 'Graphic novels', 'Political comics', 'Psychological comics', 'Science fiction comics', 'Graphic novels.', 'Psychological comics', 'Political comics', 'Comics (Graphic works)', 'Graphic novel adaptations', 'Science fiction comics', 'Dystopian comics', 'Graphic novels', 'Comics adaptations', 'Bandes dessinées psychologiques.', 'Bandes dessinées.', 'Adaptations en bandes dessinées.', 'Bandes dessinées de science-fiction.', 'Bandes dessinées dystopiques.', 'Adaptations en romans graphiques.']"
3569,eightfold path,,"[['Barnes, Steven'], ['Johnson, Charles'], ['Moss, Bryan Christopher']]",2022,English,"['text', 'still image', 'parables.', 'Afrofuturist comics', 'Allegories', 'Comics (Graphic works)', 'Graphic novels', 'Science fiction comics', 'Afrofuturist comics', 'Science fiction comics', 'Graphic novels', 'Parables', 'Comics (Graphic works)', 'Paraboles.', 'Bandes dessinées.', 'Bandes dessinées de science-fiction.', 'Bandes dessinées afrofuturistes.']"
3570,Taech'aeroun ilsang,ŏnŭ t'ŭraensŭjendŏ iyagi,"[[""Taech'aerom""], ['다채롬']]",2022,Korean,"['bibliography', 'biography', 'still image', 'text', 'Autobiographical comics', 'Comics (Graphic works)', 'Transgender comics', 'Graphic novel.', 'Transgender comics', 'Autobiographical comics', 'Bandes dessinées de transgenres.', 'Bandes dessinées autobiographiques.']"
3571,Sesŭp'edesŭ iyagi,"Sŭp'ein sŏn'gyosa, Chosŏn e tatta","[['Pak, Chu-hyŏn'], ['박 주현']]",2022,Korean,"['biography', 'text', 'Comics (Graphic works)', 'History']"
3572,We were younger once,,L,2022,English,"['biography', 'text', 'still image', 'Autobiographical comics', 'Nonfiction comics', 'Graphic novels', 'Autobiographical comics', 'Comics (Graphic works)', 'Graphic novels', 'Nonfiction comics', 'Autobiographical comics', 'Nonfiction comics', 'Graphic novels', 'Bandes dessinées autobiographiques.', 'Bandes dessinées autres que de fiction.']"
3573,Piv roku intelektualʹnoho sprotyvu,notatky vydavt︠s︡i︠a︡,"[['Krasovyt︠s︡ʹkyĭ, O. V.'], ['Красовицький, О. В.']]",2022,Ukrainian,"['biography', 'text', 'diaries.', 'Personal narratives', 'Diaries', 'History', 'Diaries', 'Journaux intimes.']"
3574,"Black Writers, White Publishers",Marketplace Politics in Twentieth- Century African American Literature,"Young, John K. (John Kevin)",2022,English,"['bibliography', 'text']"
3575,very best sukkah,a story from Uganda,"[['Nambi, Shoshana'], ['Yogev, Moran'], ['Kalaniot Books']]",2022,English,"['text', 'still image', 'Picture books for children.', 'picture books.', 'Instructional and educational works', 'Fiction', 'Juvenile works', 'Picture books', 'Picture books', 'Instructional and educational works', ""Livres d'images."", ""Matériel d'éducation et de formation.""]"
